Date,ANET,CHX,COHR,CPNG,DFS,FCX,FLEX,GE,IWM,KBR,KMI,LLY,MRVL,MSFT,NTRA,NVDA,NWSA,PANW,STX,TECK,VRT,VST,WAB,WWD,ZI
2023-07-17,170.4199981689453,33.96167755126953,51.13999938964844,17.920000076293945,117.13676452636719,39.914485931396484,21.25847816467285,88.27300262451172,190.95260620117188,64.58783721923828,16.045066833496094,443.8248596191406,64.3115463256836,343.0464782714844,49.25,46.44709396362305,20.226367950439453,250.0500030517578,58.92417907714844,41.297157287597656,26.319334030151367,25.667171478271484,112.0252914428711,119.6122055053711,28.889999389648438
2023-07-18,173.50999450683594,34.149635314941406,48.369998931884766,17.969999313354492,118.4310302734375,39.86516571044922,21.401657104492188,88.20946502685547,193.31015014648438,64.77601623535156,16.185565948486328,447.85479736328125,65.5069351196289,356.69964599609375,48.66999816894531,47.47978591918945,20.414751052856445,248.33999633789062,59.34955596923828,41.78300857543945,26.698888778686523,26.305660247802734,112.7611312866211,120.89376831054688,28.950000762939453
2023-07-19,176.25999450683594,33.86274719238281,49.619998931884766,17.940000534057617,118.57701110839844,40.12165451049805,21.695554733276367,87.28018951416016,194.12890625,63.201194763183594,16.194934844970703,450.197265625,65.37742614746094,352.3238830566406,48.33000183105469,47.06291198730469,19.978496551513672,246.0,57.87040328979492,41.8920783996582,26.658939361572266,26.845916748046875,111.93580627441406,119.46319580078125,28.850000381469727
2023-07-20,171.41000366210938,33.902320861816406,46.70000076293945,17.079999923706055,99.69811248779297,41.32521057128906,21.37151527404785,88.3524169921875,192.43223571777344,63.71622848510742,16.52276611328125,460.3811950683594,62.97671127319336,344.1776123046875,47.47999954223633,45.50637435913086,19.71079444885254,242.0500030517578,57.329017639160156,41.85240936279297,26.139543533325195,26.885208129882812,112.13467407226562,120.29768371582031,27.020000457763672
2023-07-21,171.63999938964844,34.426631927490234,46.0099983215332,17.09000015258789,102.28665924072266,40.062469482421875,21.401657104492188,87.6296615600586,191.82066345214844,63.00310134887695,16.672632217407227,458.61444091796875,63.165977478027344,341.1016845703125,49.310001373291016,44.29573440551758,19.482751846313477,243.82000732421875,57.62871551513672,41.6739387512207,25.650114059448242,27.85767364501953,112.25399780273438,119.68174743652344,26.68000030517578
2023-07-24,171.72000122070312,34.68384552001953,46.029998779296875,17.200000762939453,105.91645812988281,41.53237533569336,21.228334426879883,87.56612396240234,192.29412841796875,62.854530334472656,16.96299934387207,455.9145812988281,62.867130279541016,342.4312438964844,46.790000915527344,44.59864807128906,19.175390243530273,243.3300018310547,57.30968475341797,42.4671630859375,25.749996185302734,27.798734664916992,112.61197662353516,119.59233856201172,25.81999969482422
2023-07-25,174.08999633789062,34.49587631225586,47.279998779296875,17.030000686645508,105.06010437011719,43.1009407043457,21.416728973388672,93.05438995361328,192.2744140625,63.25071334838867,16.916166305541992,454.1477966308594,63.65409469604492,348.2557067871094,47.09000015258789,45.66532897949219,19.125818252563477,242.91000366210938,56.30425262451172,43.270301818847656,25.95975112915039,27.602277755737305,112.9500503540039,119.36384582519531,25.270000457763672
2023-07-26,164.4499969482422,34.68384552001953,47.119998931884766,17.18000030517578,103.62959289550781,42.824710845947266,21.303693771362305,91.11641693115234,193.79351806640625,62.91395568847656,16.813133239746094,450.2270812988281,63.46482467651367,335.1482238769531,47.119998931884766,45.43840026855469,19.036582946777344,245.00999450683594,56.04322814941406,41.78300857543945,25.31050682067871,27.906784057617188,112.40316009521484,119.115478515625,25.520000457763672
2023-07-27,160.99000549316406,33.308753967285156,47.13999938964844,16.979999542236328,101.38163757324219,42.70633316040039,20.346647262573242,91.67239379882812,191.28797912597656,61.12122344970703,16.672632217407227,451.61669921875,63.644126892089844,328.1529846191406,45.31999969482422,45.88626480102539,19.105987548828125,245.27999877929688,60.08429718017578,41.79292297363281,25.290531158447266,27.602277755737305,116.75846862792969,118.84724426269531,25.079999923706055
2023-07-28,151.08999633789062,34.33759689331055,46.56999969482422,18.010000228881836,101.85847473144531,43.041751861572266,20.331575393676758,90.85431671142578,193.76390075683594,61.51740646362305,16.72307777404785,455.0808410644531,64.66020202636719,335.7435607910156,45.880001068115234,46.73601150512695,19.21504783630371,248.44000244140625,61.34108352661133,43.31987762451172,25.919797897338867,27.229007720947266,117.91194915771484,118.45980072021484,25.770000457763672
